state,year,households,living_quarters
Johor,2010,810290,927200
Johor,2011,828500,945500
Johor,2012,846000,961000
Johor,2013,863300,976600
Johor,2014,880600,992200
Johor,2015,897600,1007800
Johor,2016,914700,1023400
Johor,2017,932000,1039099
Johor,2018,949100,1054700
Johor,2019,966000,1070200
Johor,2020,1017727,1244935
Johor,2021,1045400,1284000
Johor,2022,1073400,1323700
Johor,2023,1101800,1364100
Johor,2024,1130600,1405200
Kedah,2010,454230,529100
Kedah,2011,461100,538800
Kedah,2012,467800,547900
Kedah,2013,474700,557200
Kedah,2014,481800,566500
Kedah,2015,489200,575900
Kedah,2016,496800,585400
Kedah,2017,504700,595000
Kedah,2018,512799,604700
Kedah,2019,521000,614500
Kedah,2020,528228,631055
Kedah,2021,537500,641200
Kedah,2022,546900,651400
Kedah,2023,556300,661800
Kedah,2024,565900,672200
Kelantan,2010,318490,347100
Kelantan,2011,322000,358300
Kelantan,2012,325700,363600
Kelantan,2013,329400,368900
Kelantan,2014,333400,374300
Kelantan,2015,337400,379700
Kelantan,2016,341600,385100
Kelantan,2017,346000,390700
Kelantan,2018,350400,396300
Kelantan,2019,355000,402100
Kelantan,2020,363251,430354
Kelantan,2021,370000,441000
Kelantan,2022,376700,451900
Kelantan,2023,383600,462800
Kelantan,2024,390500,473900
Melaka,2010,196910,240200
Melaka,2011,201600,245000
Melaka,2012,206200,249300
Melaka,2013,210800,253600
Melaka,2014,215600,258000
Melaka,2015,220400,262400
Melaka,2016,225300,266900
Melaka,2017,230300,271400
Melaka,2018,235200,275900
Melaka,2019,240000,280500
Melaka,2020,267074,319753
Melaka,2021,276000,329600
Melaka,2022,285000,339600
Melaka,2023,294200,349800
Melaka,2024,303600,360100
Negeri Sembilan,2010,243560,324400
Negeri Sembilan,2011,248800,331900
Negeri Sembilan,2012,254000,338000
Negeri Sembilan,2013,259500,344000
Negeri Sembilan,2014,264900,350200
Negeri Sembilan,2015,270400,356300
Negeri Sembilan,2016,275900,362500
Negeri Sembilan,2017,281400,368800
Negeri Sembilan,2018,287000,375100
Negeri Sembilan,2019,292700,381500
Negeri Sembilan,2020,315497,392631
Negeri Sembilan,2021,324700,401700
Negeri Sembilan,2022,334000,410900
Negeri Sembilan,2023,343500,420100
Negeri Sembilan,2024,353200,429500
Pahang,2010,324580,371600
Pahang,2011,329700,377200
Pahang,2012,334700,382700
Pahang,2013,339600,388200
Pahang,2014,344500,393800
Pahang,2015,349600,399500
Pahang,2016,354800,405200
Pahang,2017,360200,411000
Pahang,2018,365800,416900
Pahang,2019,371300,422800
Pahang,2020,401534,458972
Pahang,2021,411500,470200
Pahang,2022,421700,481500
Pahang,2023,432000,493000
Pahang,2024,442400,504600
Perak,2010,586440,691000
Perak,2011,594200,703200
Perak,2012,602600,711100
Perak,2013,611200,719100
Perak,2014,620000,727200
Perak,2015,629000,735400
Perak,2016,638100,743700
Perak,2017,647400,752100
Perak,2018,656600,760600
Perak,2019,665800,769300
Perak,2020,672855,808323
Perak,2021,684000,824200
Perak,2022,695300,840200
Perak,2023,706800,856500
Perak,2024,718500,873100
Perlis,2010,54260,61300
Perlis,2011,54800,62700
Perlis,2012,55300,63400
Perlis,2013,56000,64200
Perlis,2014,56600,64900
Perlis,2015,57400,65700
Perlis,2016,58200,66500
Perlis,2017,59000,67400
Perlis,2018,59900,68300
Perlis,2019,60800,69200
Perlis,2020,80850,73104
Perlis,2021,84300,74400
Perlis,2022,87700,75800
Perlis,2023,91300,77200
Perlis,2024,94900,78600
Pulau Pinang,2010,400110,480400
Pulau Pinang,2011,410500,491300
Pulau Pinang,2012,420800,499800
Pulau Pinang,2013,430900,508200
Pulau Pinang,2014,440800,516700
Pulau Pinang,2015,450700,525100
Pulau Pinang,2016,460600,533600
Pulau Pinang,2017,470400,542000
Pulau Pinang,2018,480200,550300
Pulau Pinang,2019,489700,558600
Pulau Pinang,2020,495347,587008
Pulau Pinang,2021,507600,600500
Pulau Pinang,2022,519900,614100
Pulau Pinang,2023,532400,627900
Pulau Pinang,2024,545100,641900
Sabah,2010,590990,621600
Sabah,2011,604400,634700
Sabah,2012,617900,642100
Sabah,2013,631200,649600
Sabah,2014,643800,657100
Sabah,2015,655400,664800
Sabah,2016,667000,672500
Sabah,2017,678800,680200
Sabah,2018,690600,688100
Sabah,2019,702700,695900
Sabah,2020,728201,777023
Sabah,2021,747200,795700
Sabah,2022,766600,814800
Sabah,2023,786300,834300
Sabah,2024,806300,854000
Sarawak,2010,558440,601700
Sarawak,2011,570200,613500
Sarawak,2012,582300,622700
Sarawak,2013,594300,632000
Sarawak,2014,606000,641200
Sarawak,2015,617900,650600
Sarawak,2016,630000,659900
Sarawak,2017,642100,669300
Sarawak,2018,654600,678700
Sarawak,2019,667000,688100
Sarawak,2020,618108,779062
Sarawak,2021,627400,800100
Sarawak,2022,636700,821500
Sarawak,2023,646400,843400
Sarawak,2024,656300,865800
Selangor,2010,1380490,1595200
Selangor,2011,1430900,1644400
Selangor,2012,1479400,1685500
Selangor,2013,1527700,1726800
Selangor,2014,1575200,1768100
Selangor,2015,1622000,1809300
Selangor,2016,1668500,1850300
Selangor,2017,1714600,1891000
Selangor,2018,1760000,1931200
Selangor,2019,1804200,1971000
Selangor,2020,1836410,2101896
Selangor,2021,1894200,2164200
Selangor,2022,1952800,2227500
Selangor,2023,2012500,2291900
Selangor,2024,2073199,2357400
Terengganu,2010,218530,243800
Terengganu,2011,223100,250400
Terengganu,2012,227700,254400
Terengganu,2013,232400,258600
Terengganu,2014,237300,262800
Terengganu,2015,242400,267200
Terengganu,2016,247700,271600
Terengganu,2017,253200,276100
Terengganu,2018,258800,280700
Terengganu,2019,264500,285400
Terengganu,2020,282373,314449
Terengganu,2021,290400,323000
Terengganu,2022,298600,331700
Terengganu,2023,306900,340600
Terengganu,2024,315500,349700
W.P. Kuala Lumpur,2010,444800,477700
W.P. Kuala Lumpur,2011,457900,485400
W.P. Kuala Lumpur,2012,470500,493000
W.P. Kuala Lumpur,2013,483000,500400
W.P. Kuala Lumpur,2014,495200,507900
W.P. Kuala Lumpur,2015,507200,515200
W.P. Kuala Lumpur,2016,519000,522500
W.P. Kuala Lumpur,2017,530600,529700
W.P. Kuala Lumpur,2018,541800,536700
W.P. Kuala Lumpur,2019,552700,543500
W.P. Kuala Lumpur,2020,573529,634639
W.P. Kuala Lumpur,2021,591500,653900
W.P. Kuala Lumpur,2022,609800,673500
W.P. Kuala Lumpur,2023,628300,693400
W.P. Kuala Lumpur,2024,647100,713500
W.P. Labuan,2010,18800,20200
W.P. Labuan,2011,19600,20700
W.P. Labuan,2012,20300,21100
W.P. Labuan,2013,21200,21500
W.P. Labuan,2014,22000,21900
W.P. Labuan,2015,22800,22200
W.P. Labuan,2016,23600,22600
W.P. Labuan,2017,24400,23000
W.P. Labuan,2018,25200,23400
W.P. Labuan,2019,26000,23800
W.P. Labuan,2020,23961,22879
W.P. Labuan,2021,24600,23200
W.P. Labuan,2022,25300,23600
W.P. Labuan,2023,26000,23900
W.P. Labuan,2024,26700,24300
W.P. Putrajaya,2010,20700,24900
W.P. Putrajaya,2011,22200,26700
W.P. Putrajaya,2012,23600,28300
W.P. Putrajaya,2013,25000,29900
W.P. Putrajaya,2014,26300,31600
W.P. Putrajaya,2015,27500,33200
W.P. Putrajaya,2016,28900,34700
W.P. Putrajaya,2017,30300,36300
W.P. Putrajaya,2018,32000,37800
W.P. Putrajaya,2019,33700,39300
W.P. Putrajaya,2020,29699,38056
W.P. Putrajaya,2021,30900,39700
W.P. Putrajaya,2022,32200,41400
W.P. Putrajaya,2023,33500,43200
