state,year,households,living_quarters,households_norm,living_quarters_norm
Johor,2010,810290,927200,0.0,0.0
Johor,2011,828500,945500,0.05685117542380819,0.03828451882845188
Johor,2012,846000,961000,0.11148574818144923,0.0707112970711297
Johor,2013,863300,976600,0.16549592582186007,0.10334728033472804
Johor,2014,880600,992200,0.21950610346227092,0.13598326359832635
Johor,2015,897600,1007800,0.2725796884268365,0.1686192468619247
Johor,2016,914700,1023400,0.32596547095001716,0.20125523012552302
Johor,2017,932000,1039099,0.37997564859042804,0.23409832635983263
Johor,2018,949100,1054700,0.4333614311136087,0.26673640167364016
Johor,2019,966000,1070200,0.4861228185195592,0.29916317991631797
Johor,2020,1017727,1244935,0.6476132496643876,0.6647175732217573
Johor,2021,1045400,1284000,0.7340076800599419,0.7464435146443514
Johor,2022,1073400,1323700,0.8214229964721675,0.8294979079497908
Johor,2023,1101800,1364100,0.9100871031188537,0.9140167364016737
Johor,2024,1130600,1405200,1.0,1.0
Kedah,2010,454230,529100,0.0,0.0
Kedah,2011,461100,538800,0.06152055162532462,0.06778476589797344
Kedah,2012,467800,547900,0.12151876063401093,0.13137665967854648
Kedah,2013,474700,557200,0.18330796095638935,0.19636617749825297
Kedah,2014,481800,566500,0.24688815259245991,0.2613556953179595
Kedah,2015,489200,575900,0.3131548311990687,0.3270440251572327
Kedah,2016,496800,585400,0.38121250111936955,0.39343116701607267
Kedah,2017,504700,595000,0.4519566580102086,0.4605171208944794
Kedah,2018,512799,604700,0.5244828512581714,0.5283018867924528
Kedah,2019,521000,614500,0.5979224500761171,0.596785464709993
Kedah,2020,528228,631055,0.6626488761529506,0.7124737945492663
Kedah,2021,537500,641200,0.7456792334557177,0.7833682739343116
Kedah,2022,546900,651400,0.8298558251992478,0.8546470999301188
Kedah,2023,556300,661800,0.9140324169427778,0.9273235499650594
Kedah,2024,565900,672200,1.0,1.0
Kelantan,2010,318490,347100,0.0,0.0
Kelantan,2011,322000,358300,0.048743230106929596,0.08832807570977919
Kelantan,2012,325700,363600,0.10012498264129982,0.13012618296529968
Kelantan,2013,329400,368900,0.15150673517567004,0.1719242902208202
Kelantan,2014,333400,374300,0.20705457575336758,0.21451104100946372
Kelantan,2015,337400,379700,0.2626024163310651,0.25709779179810727
Kelantan,2016,341600,385100,0.3209276489376475,0.2996845425867508
Kelantan,2017,346000,390700,0.38203027357311486,0.3438485804416404
Kelantan,2018,350400,396300,0.44313289820858215,0.38801261829652994
Kelantan,2019,355000,402100,0.5070129148729343,0.43375394321766564
Kelantan,2020,363251,430354,0.6215942230245799,0.6565772870662461
Kelantan,2021,370000,441000,0.7153173170393001,0.7405362776025236
Kelantan,2022,376700,451900,0.8083599500069435,0.8264984227129337
Kelantan,2023,383600,462800,0.9041799750034717,0.9124605678233438
Kelantan,2024,390500,473900,1.0,1.0
Melaka,2010,196910,240200,0.0,0.0
Melaka,2011,201600,245000,0.043959133939450744,0.040033361134278564
Melaka,2012,206200,249300,0.08707470240884807,0.07589658048373644
Melaka,2013,210800,253600,0.1301902708782454,0.11175979983319433
Melaka,2014,215600,258000,0.17518042928109476,0.14845704753961636
Melaka,2015,220400,262400,0.22017058768394412,0.18515429524603835
Melaka,2016,225300,266900,0.26609804105351953,0.2226855713094245
Melaka,2017,230300,271400,0.312962789389821,0.2602168473728107
Melaka,2018,235200,275900,0.3588902427593964,0.29774812343619683
Melaka,2019,240000,280500,0.4038804011622458,0.33611342785654713
Melaka,2020,267074,319753,0.6576436404536508,0.6634945788156797
Melaka,2021,276000,329600,0.7413065891836161,0.7456213511259383
Melaka,2022,285000,339600,0.8256631361889587,0.8290241868223519
Melaka,2023,294200,349800,0.9118942731277533,0.914095079232694
Melaka,2024,303600,360100,1.0,1.0
Negeri Sembilan,2010,243560,324400,0.0,0.0
Negeri Sembilan,2011,248800,331900,0.04779277635899307,0.071360608943863
Negeri Sembilan,2012,254000,338000,0.09522072236410069,0.12940057088487156
Negeri Sembilan,2013,259500,344000,0.14538489602334914,0.18648905803996194
Negeri Sembilan,2014,264900,350200,0.194636993797884,0.24548049476688868
Negeri Sembilan,2015,270400,356300,0.24480116745713243,0.30352045670789723
Negeri Sembilan,2016,275900,362500,0.2949653411163809,0.362511893434824
Negeri Sembilan,2017,281400,368800,0.3451295147756293,0.4224548049476689
Negeri Sembilan,2018,287000,375100,0.39620576431959137,0.48239771646051377
Negeri Sembilan,2019,292700,381500,0.4481940897482671,0.5432921027592769
Negeri Sembilan,2020,315497,392631,0.6561200291864283,0.6492007611798287
Negeri Sembilan,2021,324700,401700,0.7400583728566217,0.7354900095147479
Negeri Sembilan,2022,334000,410900,0.8248814301349873,0.8230256898192198
Negeri Sembilan,2023,343500,420100,0.91152863918278,0.9105613701236918
Negeri Sembilan,2024,353200,429500,1.0,1.0
Pahang,2010,324580,371600,0.0,0.0
Pahang,2011,329700,377200,0.043456119504328636,0.042105263157894736
Pahang,2012,334700,382700,0.08589373620777457,0.08345864661654136
Pahang,2013,339600,388200,0.12748260057715158,0.12481203007518797
Pahang,2014,344500,393800,0.1690714649465286,0.16691729323308271
Pahang,2015,349600,399500,0.21235783398404345,0.20977443609022556
Pahang,2016,354800,405200,0.2564929553556272,0.25263157894736843
Pahang,2017,360200,411000,0.3023255813953488,0.2962406015037594
Pahang,2018,365800,416900,0.34985571210320826,0.3406015037593985
Pahang,2019,371300,422800,0.3965370904769988,0.3849624060150376
Pahang,2020,401534,458972,0.6531488711593957,0.6569323308270677
Pahang,2021,411500,470200,0.7377355287727041,0.7413533834586467
Pahang,2022,421700,481500,0.8243082668477338,0.8263157894736842
Pahang,2023,432000,493000,0.9117297572568325,0.912781954887218
Pahang,2024,442400,504600,1.0,1.0
Perak,2010,586440,691000,0.0,0.0
Perak,2011,594200,703200,0.05876116916553082,0.06699615595826469
Perak,2012,602600,711100,0.12236862032409511,0.11037891268533773
Perak,2013,611200,719100,0.18749053460548235,0.1543108182317408
Perak,2014,620000,727200,0.25412691200969256,0.1987918725974739
Perak,2015,629000,735400,0.32227775253672575,0.24382207578253706
Perak,2016,638100,743700,0.3911858246251704,0.28940142778693023
Perak,2017,647400,752100,0.461608359836438,0.3355299286106535
Perak,2018,656600,760600,0.5312736634862941,0.38220757825370677
Perak,2019,665800,769300,0.6009389671361502,0.4299835255354201
Perak,2020,672855,808323,0.6543616537937301,0.644277869302581
Perak,2021,684000,824200,0.7387551113130395,0.7314662273476112
Perak,2022,695300,840200,0.8243222777525367,0.8193300384404174
Perak,2023,706800,856500,0.9114039073148569,0.9088412959912137
Perak,2024,718500,873100,1.0,1.0
Perlis,2010,54260,61300,0.0,0.0
Perlis,2011,54800,62700,0.01328740157480315,0.08092485549132948
Perlis,2012,55300,63400,0.025590551181102362,0.12138728323699421
Perlis,2013,56000,64200,0.04281496062992126,0.1676300578034682
Perlis,2014,56600,64900,0.05757874015748032,0.20809248554913296
Perlis,2015,57400,65700,0.07726377952755906,0.2543352601156069
Perlis,2016,58200,66500,0.09694881889763779,0.30057803468208094
Perlis,2017,59000,67400,0.11663385826771654,0.35260115606936415
Perlis,2018,59900,68300,0.13877952755905512,0.4046242774566474
Perlis,2019,60800,69200,0.1609251968503937,0.45664739884393063
Perlis,2020,80850,73104,0.6542814960629921,0.6823121387283237
Perlis,2021,84300,74400,0.7391732283464567,0.7572254335260116
Perlis,2022,87700,75800,0.8228346456692913,0.838150289017341
Perlis,2023,91300,77200,0.9114173228346457,0.9190751445086706
