state,year,gini
Johor,2007,0.368
Johor,2009,0.393
Johor,2012,0.383
Johor,2014,0.324
Johor,2016,0.354
Johor,2019,0.366
Johor,2022,0.366
Kedah,2007,0.392
Kedah,2009,0.408
Kedah,2012,0.391
Kedah,2014,0.365
Kedah,2016,0.393
Kedah,2019,0.354
Kedah,2022,0.359
Kelantan,2007,0.405
Kelantan,2009,0.428
Kelantan,2012,0.41
Kelantan,2014,0.393
Kelantan,2016,0.389
Kelantan,2019,0.378
Kelantan,2022,0.385
Melaka,2007,0.38
Melaka,2009,0.411
Melaka,2012,0.355
Melaka,2014,0.316
Melaka,2016,0.337
Melaka,2019,0.383
Melaka,2022,0.37
Negeri Sembilan,2007,0.385
Negeri Sembilan,2009,0.372
Negeri Sembilan,2012,0.382
Negeri Sembilan,2014,0.361
Negeri Sembilan,2016,0.38
Negeri Sembilan,2019,0.391
Negeri Sembilan,2022,0.369
Pahang,2007,0.38
Pahang,2009,0.382
Pahang,2012,0.354
Pahang,2014,0.36
Pahang,2016,0.324
Pahang,2019,0.33
Pahang,2022,0.308
Perak,2007,0.399
Perak,2009,0.4
Perak,2012,0.417
Perak,2014,0.366
Perak,2016,0.362
Perak,2019,0.377
Perak,2022,0.368
Perlis,2007,0.454
Perlis,2009,0.434
Perlis,2012,0.455
Perlis,2014,0.346
Perlis,2016,0.327
Perlis,2019,0.334
Perlis,2022,0.336
Pulau Pinang,2007,0.411
Pulau Pinang,2009,0.419
Pulau Pinang,2012,0.37
Pulau Pinang,2014,0.364
Pulau Pinang,2016,0.356
Pulau Pinang,2019,0.359
Pulau Pinang,2022,0.371
Sabah,2007,0.451
Sabah,2009,0.454
Sabah,2012,0.427
Sabah,2014,0.387
Sabah,2016,0.402
Sabah,2019,0.397
Sabah,2022,0.395
Sarawak,2007,0.442
Sarawak,2009,0.448
Sarawak,2012,0.44
Sarawak,2014,0.391
Sarawak,2016,0.386
Sarawak,2019,0.387
Sarawak,2022,0.382
Selangor,2007,0.418
Selangor,2009,0.424
Selangor,2012,0.396
Selangor,2014,0.379
Selangor,2016,0.372
Selangor,2019,0.393
Selangor,2022,0.361
Terengganu,2007,0.399
Terengganu,2009,0.418
Terengganu,2012,0.426
Terengganu,2014,0.36
Terengganu,2016,0.328
Terengganu,2019,0.335
Terengganu,2022,0.326
W.P. Kuala Lumpur,2007,0.446
W.P. Kuala Lumpur,2009,0.374
W.P. Kuala Lumpur,2012,0.442
W.P. Kuala Lumpur,2014,0.407
W.P. Kuala Lumpur,2016,0.378
W.P. Kuala Lumpur,2019,0.35
W.P. Kuala Lumpur,2022,0.38
W.P. Labuan,2007,0.388
W.P. Labuan,2009,0.387
W.P. Labuan,2012,0.383
W.P. Labuan,2014,0.385
W.P. Labuan,2016,0.398
W.P. Labuan,2019,0.333
W.P. Labuan,2022,0.3
W.P. Putrajaya,2007,0.362
W.P. Putrajaya,2009,0.342
W.P. Putrajaya,2012,0.305
W.P. Putrajaya,2014,0.374
W.P. Putrajaya,2016,0.369
W.P. Putrajaya,2019,0.361
W.P. Putrajaya,2022,0.368
